Surname;First name;City;Class;Time;Pl;Points;ZL1;Sum;Average
Zmrzlikar;Jure;OK Komenda;A;0:30:59;1;1193;1193;1193;1193
Borštnik;Andrej;OK Tivoli;A;0:31:36;2;1182;1182;1182;1182
Zorman;Nejc;OK Komenda;A;0:31:39;3;1181;1181;1181;1181
Pretnar;Janez;OK Azimut;A;0:32:14;4;1171;1171;1171;1171
Mrak;Tibor;OK Azimut;A;0:34:26;5;1132;1132;1132;1132
Hošek;Radim;KOB Dobruska;A;0:37:46;6;1074;1074;1074;1074
Bogovič;Vid;OK Brežice;A;0:39:39;7;1041;1041;1041;1041
Lapajne;Jošt;OK Azimut;A;0:44:20;8;958;958;958;958
Knap;Franc;OK Azimut;A;0:44:28;9;956;956;956;956
Hvala;Gregor;OK Azimut;A;0:44:36;10;953;953;953;953
Petrovič;Blaž;OK Polaris;A;0:49:14;11;872;872;872;872
Petrovič;Uroš;OK Polaris;A;0:49:27;12;868;868;868;868
Pretnar;Tanja;OK Azimut;A;0:49:33;13;866;866;866;866
Pribaković Borštnik;Ana;OK Tivoli;A;0:50:27;14;851;851;851;851
Maček;Marjan;ind;A;0:50:41;15;846;846;846;846
Petrovič;Dušan;OK Polaris;A;0:50:54;16;843;843;843;843
Clemente;Mauro;SSD Gaja;A;0:50:56;17;842;842;842;842
Čufer;David;PD Ajdovščina;A;0:55:27;18;763;763;763;763
Pizzamus;Paolo;SSD Gaja;A;0:55:50;20;756;756;756;756
Bartulovich;Lorenzo;SSD Gaja;A;0:55:48;19;756;756;756;756
Cimerman;Janez;OK Azimut;A;0:56:40;21;741;741;741;741
Udovič;Metka;SCOM Mendriso;A;0:58:16;22;713;713;713;713
Cvek;Manca;OK Azimut;A;0:58:24;23;711;711;711;711
Čelik;Patrik;OK Azimut;A;1:00:26;24;675;675;675;675
Sladič;Roman;OK Perkmandeljc;A;1:06:47;25;563;563;563;563
Leoni;Gianluca;SSD Gaja;A;1:07:14;26;555;555;555;555
Pacor;Fulvio;SSD Gaja;A;1:11:24;27;482;482;482;482
Čufer;Stanko;PD Ajdovščina;A;1:15:13;28;415;415;415;415
Burič;Uroš;RJZ Velenje;A;1:16:02;29;400;400;400;400
Pestotnik;Rok;Pustolovec Rajd;A;1:16:16;30;396;396;396;396
Sušnik;Rok;OK Azimut;A;1:16:29;31;392;392;392;392
Mirnik;Jona;OK Komenda;A;1:21:53;32;297;297;297;297
Kete;Ivo;PD Ajdovščina;A;1:22:21;33;289;289;289;289
Kacin;Vojko;OK Azimut;A;1:22:52;34;280;280;280;280
Rejec;Gašper;OK Azimut;B;0:40:50;1;366;366;366;366
Jeram;Nuša;OK Azimut;B;0:44:46;2;337;337;337;337
Šalamun;Jan;OK Polaris;B;0:45:27;3;330;330;330;330
Foški;Tajda;OK Polaris;B;0:45:48;4;324;324;324;324
De Luisa;Andraž;SSD Gaja;B;0:46:45;5;316;316;316;316
Jerman;Lara;OK Trzin;B;0:49:20;6;299;299;299;299
Ravnikar;Monika;OK Komenda;B;0:49:30;7;295;295;295;295
Vukajlovič;Vladan;DGN SP;B;0:49:53;8;291;291;291;291
Poljanšek;Katjuša;OK Azimut;B;0:50:00;9;287;287;287;287
Dremel;Ula;OK Trzin;B;0:50:06;10;284;284;284;284
Volčič;Maša;OK Tivoli;B;0:50:57;11;276;276;276;276
Burger;Veronika;OK Polaris;B;0:51:00;12;273;273;273;273
Hrovat;Maj;OK Trzin;B;0:56:03;13;249;249;249;249
Slapničar;Anja;RJZ Velenje;B;1:03:25;14;220;220;220;220
Lipužič;Marjeta;OK Komenda;B;1:04:54;15;213;213;213;213
Čufer;Ana;PD Ajdovščina;B;1:05:11;16;209;209;209;209
Špendl;Martin;OK Trzin;B;1:08:16;17;197;197;197;197
Pretnar;Irma;OK Azimut;B;1:08:38;18;193;193;193;193
Sepin;Claudio;SSD Gaja;B;1:33:34;19;143;143;143;143
De Luisa;Marko;SSD Gaja;B;1:33:59;20;139;139;139;139
Škvarč;Teja;PD Ajdovščina;B;1:53:57;21;114;114;114;114
Rejec;Marjana;DGN SP;B;1:54:22;22;110;110;110;110
Škarabot;Matej;OK Polaris;C;0:40:12;1;106;106;106;106
Petrovič;Domenin Filip;OK Polaris;C;1:03:29;2;68;68;68;68
Petrovič;Gašper;OK Polaris;C;1:10:28;3;61;61;61;61
Rijavec;Jure;PD Ajdovščina;C;1:10:39;4;60;60;60;60
Škvarč;Sašo;PD Ajdovščina;C;1:10:58;5;59;59;59;59
Bizjak;Žiga;PD Ajdovščina;C;1:11:08;6;58;58;58;58
