Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;Sum;Average
Kölner;Blaž;OK Komenda;A;1:10:13;4;1135;1046;910;;;;;;;;1124;1105;1135;5320;1064
Štanfel;Matjaž;OK Azimut;A;;;;1370;1280;;;;;;;1291;1239;;;5180;1295
Ravnikar;Žan;OK Komenda;A;1:03:06;1;1225;1227;;;;1094;;;;;1200;;1225;4746;1186
Bačnar;Janko;OK Azimut;A;;;;848;;;1000;;1042;888;949;;;;;4727;945
Kremžar;Tomaž;OK Komenda;A;1:35:52;12;811;;1032;;836;572;;-;;;926;718;811;4323;865
Obid;Marko;OK Azimut;A;1:35:48;11;812;806;746;;769;;;;539;;725;;812;3858;772
Zavrl;Zala;OK Komenda;A;1:33:07;10;846;;511;;;832;;;;;829;759;846;3777;755
Eržen;Boris;OK Polaris;A;1:36:08;13;808;559;785;;748;;;634;;;;768;808;3743;749
Borish;Tori;SSDAŠZ GAJA;A;1:40:48;15;749;;;;;;;;955;;995;875;749;3574;894
Tušar;Peter;OK Azimut;A;1:05:51;3;1191;;;;1246;;;1088;;;;;1191;3525;1175
Čufer;Stanko;PD Ajdovščina;A;;;;888;919;;;;;635;;1039;;;;3481;870
Pust;Tomaž;OK Komenda;A;;;;765;821;;865;;;;;;584;;;3035;759
Gavrilov;Igor;Polzela;A;;;;;861;;;;;;;;1099;1047;;3007;1002
Petrovič;Dušan;OK Polaris;A;1:23:36;6;966;;1008;;;;;;;;946;;966;2920;973
Zupan;Gregor;OK Komenda;A;mp;;;;1048;;;;;;;;737;805;-;2590;863
Kavčič;Jure;OK Komenda;A;1:37:45;14;787;;;;;;;;;;875;907;787;2569;856
Sedej;Matej;OK Azimut;A;;;;;;;;843;;;813;;863;;;2519;840
Petrovič;Blaž;OK Polaris;A;;;;;;;;;;;;1422;1055;;;2477;1238
Bogataj;Mark;OK Azimut;A;1:05:06;2;1200;;;;1248;;;;;;;;1200;2448;1224
Piltaver;Jaka;OK Brežice;A;;;;;1212;;;;;;;;1214;;;2426;1213
Zorman;Jernej;OK Komenda;A;;;;;1209;;;;;;;;;1158;;2367;1184
Rojc;Iztok;OK Polaris;A;;;;;1099;;;;;;;1228;;;;2327;1164
Hvala;Gregor;OK Azimut;A;;;;;;;1099;;;;;;1131;;;2230;1115
Pribaković Borštnik;Ana;OK Tivoli;A;;;;;849;;;671;;;;;703;;;2223;741
Blaž;Matic;OK Komenda;A;;;;;1098;;;;;1080;;;;;;2178;1089
Petrovič;Gašper;OK Polaris;A;;;;;;;;;;;;1073;946;;;2019;1010
Škarabot;Miha;OK Polaris;A;;;;;924;;;;;;;1075;;;;1999;1000
Gregorc;Urban;PD Ajdovščina;A;;;;960;;;;;;807;;;;;;1767;884
Eržen;Valentin;OK Azimut;A;;;;767;;;;;;;971;;;;;1738;869
Čerin;Matej;OK Tivoli;A;;;;;989;;;;;;;;;739;;1728;864
Kurinčič;Simon;OK Komenda;A;;;;;626;;;;;;;;831;;;1457;728
Kete;Ivo;PD Ajdovščina;A;;;;571;;;;;;803;;;;;;1374;687
Salopek;Tihomir;OK Azimut;A;;;;1183;;;;;;;;;;;;1183;1183
Giacometti;Carlo;SSD Gaja;A;;;;;;;;;;;742;;415;;;1157;578
Stanonik;Simon;OK Azimut;A;;;;;;;;;1151;;;;;;;1151;1151
Muchidinov;Sergiy;Friuli MTB  Orienteering;A;;;;;;;;;;;1149;;;;;1149;1149
Kolner;Blaž;OK Komenda;A;;;;;;;;1089;;;;;;;;1089;1089
Rupnik;Ambrož;OK Azimut;A;;;;1065;;;;;;;;;;;;1065;1065
Šumečki;Žan Luka;OK Tivoli;A;1:16:43;5;1053;;;;;;;;;;;;1053;1053;1053
Pretnar;Janez;Kamniški OK;A;;;;;1000;;;;;;;;;;;1000;1000
Jevševar;Bojan;OK Brežice;A;;;;;991;;;;;;;;;;;991;991
Ievstafiev;Oleksandr;ind.;A;;;;;;;;;973;;;;;;;973;973
