Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;Sum;Average
Štanfel;Matjaž;OK Azimut;A;0:31:00;1;1280;1370;1280;2650;1325
Kölner;Blaž;OK Komenda;A;0:51:30;14;910;1046;910;1956;978
Čufer;Stanko;PD Ajdovščina;A;0:51:01;13;919;888;919;1807;904
Pust;Tomaž;OK Komenda;A;0:56:28;18;821;765;821;1586;793
Obid;Marko;OK Azimut;A;1:00:36;21;746;806;746;1552;776
Eržen;Boris;OK Polaris;A;0:58:27;20;785;559;785;1344;672
Ravnikar;Žan;OK Komenda;A;;;;1227;;1227;1227
Piltaver;Jaka;OK Brežice;A;0:34:46;2;1212;;1212;1212;1212
Zorman;Jernej;OK Komenda;A;0:34:56;3;1209;;1209;1209;1209
Salopek;Tihomir;OK Azimut;A;;;;1183;;1183;1183
Rojc;Iztok;OK Polaris;A;0:41:02;4;1099;;1099;1099;1099
Blaž;Matic;OK Komenda;A;0:41:05;5;1098;;1098;1098;1098
Rupnik;Ambrož;OK Azimut;A;;;;1065;;1065;1065
Zupan;Gregor;OK Komenda;A;0:43:52;6;1048;;1048;1048;1048
Kremžar;Tomaž;OK Komenda;A;0:44:46;7;1032;;1032;1032;1032
Petrovič;Dušan;OK Polaris;A;0:46:06;8;1008;;1008;1008;1008
Pretnar;Janez;Kamniški OK;A;0:46:31;9;1000;;1000;1000;1000
Jevševar;Bojan;OK Brežice;A;0:47:02;10;991;;991;991;991
Čerin;Matej;OK Tivoli;A;0:47:09;11;989;;989;989;989
Gregorc;Urban;PD Ajdovščina;A;;;;960;;960;960
Škarabot;Miha;OK Polaris;A;0:50:44;12;924;;924;924;924
Hribar;Anica;OK Brežice;A;0:52:37;15;890;;890;890;890
Gavrilov;Igor;Polzela;A;0:54:14;16;861;;861;861;861
Pribaković Borštnik;Ana;OK Tivoli;A;0:54:55;17;849;;849;849;849
Bačnar;Janko;OK Azimut;A;;;;848;;848;848
Jazbar;Jožko;OK Azimut;A;0:57:33;19;801;;801;801;801
Eržen;Valentin;OK Azimut;A;;;;767;;767;767
Kurinčič;Simon;OK Komenda;A;1:07:15;22;626;;626;626;626
Kete;Ivo;PD Ajdovščina;A;;;;571;;571;571
Čerin;Aleš;OK Tivoli;A;1:12:38;23;529;;529;529;529
Zavrl;Zala;OK Komenda;A;1:13:40;24;511;;511;511;511
Gantar;Tjaž;OK Azimut;A;mp;;;;-;0;0
Malus;Franc;OK Komenda;A;mp;;;;-;0;0
Borštnik;Aleš;OK Tivoli;A;mp;;;;-;0;0
Leban;Manja;OK Azimut;B;0:43:33;7;329;292;329;621;310
Tomažin;Urša;OK Azimut;B;0:43:44;8;325;271;325;596;298
Gantar;Kristjan;OK Azimut;B;0:42:39;5;340;240;340;580;290
Rovtar;Jošt;OK Azimut;B;0:48:15;12;288;263;288;551;276
Pust;Karin;OK Komenda;B;0:43:19;6;333;207;333;540;270
Paradiž;Petra;OK Komenda;B;0:49:05;14;278;174;278;452;226
Rupnik;Andraž;OK Azimut;B;1:09:08;27;173;274;173;447;224
Gantar;Damjana;OK Azimut;B;0:53:03;16;255;170;255;425;212
Sladič;Roman;OK Perkmandeljc Trbovlje;B;0:48:55;13;282;142;282;424;212
Trunk;Špela;OK Komenda;B;0:54:52;18;242;180;242;422;211
Hacin Kölner;Irena;OK Komenda;B;1:01:13;24;203;213;203;416;208
Salopek;Tihon;OK Azimut;B;;;;393;;393;393
Grabar;Cristina;us primiero asd;B;0:37:42;1;387;;387;387;387
Maj Poženel;Natan;PD Tolmin;B;0:37:55;2;382;;382;382;382
Stojan;Petra;OK Komenda;B;0:51:38;15;264;117;264;381;190
Zorman;Jernej;OK Komenda;B;;;;373;;373;373
Turk;Nejc;OK Komenda;B;0:39:44;3;366;;366;366;366
Lapajne;Janko;OK Azimut;B;0:57:32;21;224;142;224;366;183
Kacin;Emil;OK Azimut;B;0:40:09;4;360;;360;360;360
Kurinčič;Simon;OK Komenda;B;;;;344;;344;344
Kacin;Vojko;OK Azimut;B;0:46:32;9;306;;306;306;306
Kern;Rok;OK Komenda;B;;;;302;;302;302
Zupan;Tilen;OK Komenda;B;0:46:59;10;301;;301;301;301
Babic;Katja;OK Komenda;B;;;;295;;295;295
Nelson;Charles;OK Azimut;B;0:47:46;11;294;;294;294;294
Čelik;Aljaž;OK Azimut;B;;;;285;;285;285
Boncina;Igor;OK Azimut;B;;;;259;;259;259
Bogataj;Boštjan;OK Azimut;B;;;;248;;248;248
Ongaro;Marco;US Primiero ASD;B;0:54:34;17;246;;246;246;246
Malus;Franc;OK Komenda;B;;;;243;;243;243
Kern;Tina;OK Komenda;B;;;;236;;236;236
Istenič;Maja;OK Azimut;B;0:57:01;19;231;;231;231;231
Plavčak;Ana;ŠOK;B;;;;229;;229;229
Pia Pogačar;Ana;OK Komenda;B;0:57:22;20;227;;227;227;227
Ravnikar;Nika;OK Komenda;B;;;;217;;217;217
Pretnar;Tanja;Kamniški OK;B;0:58:51;22;216;;216;216;216
Zupan;Romana;OK Komenda;B;1:01:13;24;203;;203;203;203
Vidič;Matej;OK Azimut;B;1:01:41;25;198;-;198;198;198
Obid;Aljaž;OK Azimut;B;;;;194;;194;194
Sedej;Vlado;OK Azimut;B;1:02:46;26;192;;192;192;192
Razpet;Deja;OK Azimut;B;;;;190;;190;190
Zibelnik;Klemen;smuckacom;B;;;;184;;184;184
Malus;Vita;OK Komenda;B;;;;156;;156;156
Kavčič;Lucija;OK Komenda;B;;;;156;;156;156
Pretnar;Irma;Kamniški OK;B;1:25:18;28;139;;139;139;139
Bogataj;Natasa;OK Azimut;B;1:35:59;29;121;;121;121;121
Valič;Jakob;PD Ajdovščina;B;;;;87;;87;87
Šuc;Timotej;Posameznikibrez kluba;B;mp;;;;-;0;0
Zupan;Lara;OK Komenda;B;mp;;;;-;0;0
Gombač Šuc;Elena;Posameznikibrez kluba;B;mp;;;;-;0;0
Obid;Neža;OK Azimut;C;0:19:53;2;113;130;113;243;122
Bogataj;Rok;OK Azimut;C;0:21:36;3;104;125;104;229;114
Cokan;Jan;OK Komenda;C;0:21:53;4;102;119;102;221;110
Eržen;Nea;OK Azimut;C;0:30:06;10;74;123;74;197;98
Trunk;Nejc;OK Komenda;C;0:28:45;7;79;113;79;192;96
Trunk;Neža;OK Komenda;C;0:25:39;6;88;84;88;172;86
Gantar;Primož;OK Azimut;C;0:24:13;5;93;69;93;162;81
Letonja;Arlina;OK Azimut;C;0:36:08;18;56;97;56;153;76
Gantar;Borut;OK Azimut;C;0:30:35;11;72;78;72;150;75
Kurinčič;Jakob;OK Komenda;C;0:32:59;15;63;64;63;127;64
Obid;Aljaž;OK Azimut;C;0:18:15;1;122;;122;122;122
Obid;Maja;OK Azimut;C;0:32:33;14;65;56;65;121;60
Serženta Seljak;Zala;OK Azimut;C;0:34:12;16;60;55;60;115;58
Švigelj;Zala Mia;OK Komenda;C;;;;107;;107;107
Salopek;Dorja;OK Azimut;C;;;;102;;102;102
Švigelj;Luka;OK Komenda;C;;;;99;;99;99
Šuc;Timotej;ind.;C;;;;95;;95;95
Gmajner;Miha;OK Komenda;C;;;;92;;92;92
Kölner;Brina;OK Komenda;C;;;;91;;91;91
Erjavec;Andrej;OK Azimut;C;;;;89;;89;89
Malus;Marta;OK Komenda;C;;;;87;;87;87
Bogataj;Nataša;OK Azimut;C;;;;85;;85;85
Malus;Ožbej;OK Komenda;C;0:29:23;8;77;;77;77;77
Kremžar;Lucija;OK Komenda;C;0:30:01;9;75;;75;75;75
Čibej;Barbara;OK Azimut;C;;;;75;;75;75
Kölner;Anže;OK Komenda;C;;;;73;;73;73
Sedej;David;OK Azimut;C;0:30:36;12;71;;71;71;71
Sedej;Rok;OK Azimut;C;0:30:42;13;69;;69;69;69
Saksida;Nina;OK Komenda;C;;;;61;;61;61
Lončar;Naja;OK Komenda;C;;;;59;;59;59
Jerebič;Simon Erik;OK Komenda;C;;;;57;;57;57
Kern;Patricija;OK Komenda;C;0:35:56;17;57;;57;57;57
Šuc;Enej;Posameznikibrez kluba;C;0:37:09;19;53;;53;53;53
Gombač Šuc;Elena;ind.;C;;;;53;;53;53
Malus;Drejc;OK Komenda;C;0:37:21;20;52;;52;52;52
Jeraj;Ajda;OK Komenda;C;;;;51;;51;51
Plevel;Patrik;OK Komenda;C;;;;46;;46;46
Kremžar;Florijan;Posameznikibrez kluba;C;0:45:02;21;43;;43;43;43
Korenčan;Još;Posameznikibrez kluba;C;0:52:59;22;35;;35;35;35
Istenič;Maja;OK Azimut;C;;;;25;;25;25
