Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;Sum;Average
Štanfel;Matjaž;OK Ris Delnice;A;;;;1370;1280;;;2650;1325
Pust;Tomaž;OK Komenda;A;1:32:27;5;865;765;821;;865;2451;817
Kremžar;Tomaž;OK Komenda;A;1:35:24;7;836;;1032;;836;2440;813
Ravnikar;Žan;OK Komenda;A;;;;1227;;;;2321;1160
Obid;Marko;OK Azimut;A;1:42:15;8;769;806;746;;769;2321;774
Eržen;Boris;OK Polaris;A;1:44:26;9;748;559;785;;748;2092;697
Kölner;Blaž;OK Komenda;A;;;;1046;910;;;1956;978
Bačnar;Janko;OK Azimut;A;1:18:42;4;1000;848;;;1000;1848;924
Čufer;Stanko;PD Ajdovščina;A;;;;888;919;;;1807;904
Pribaković Borštnik;Ana;OK Tivoli;A;;;;;849;;;1520;760
Zavrl;Zala;OK Komenda;A;;;;;511;;;1343;672
Bogataj;Mark;OK Azimut;A;0:53:17;1;1248;;;;1248;1248;1248
Tušar;Peter;OK Azimut;A;0:53:34;2;1246;;;;1246;1246;1246
Piltaver;Jaka;OK Brežice;A;;;;;1212;;;1212;1212
Zorman;Jernej;OK Komenda;A;;;;;1209;;;1209;1209
Salopek;Tihomir;OK Azimut;A;;;;1183;;;;1183;1183
Rojc;Iztok;OK Polaris;A;;;;;1099;;;1099;1099
Hvala;Gregor;OK Azimut;A;1:08:30;3;1099;;;;1099;1099;1099
Blaž;Matic;OK Komenda;A;;;;;1098;;;1098;1098
Kolner;Blaž;OK Komenda;A;;;;;;;;1089;1089
Rupnik;Ambrož;OK Azimut;A;;;;1065;;;;1065;1065
Zupan;Gregor;OK Komenda;A;;;;;1048;;;1048;1048
Petrovič;Dušan;OK Polaris;A;;;;;1008;;;1008;1008
Pretnar;Janez;Kamniški OK;A;;;;;1000;;;1000;1000
Jevševar;Bojan;OK Brežice;A;;;;;991;;;991;991
Čerin;Matej;OK Tivoli;A;;;;;989;;;989;989
Gregorc;Urban;PD Ajdovščina;A;;;;960;;;;960;960
Škarabot;Miha;OK Polaris;A;;;;;924;;;924;924
Hribar;Anica;OK Brežice;A;;;;;890;;;890;890
Jezeršek;Polona;ind.;A;;;;;;;;864;864
Gavrilov;Igor;Polzela;A;;;;;861;;;861;861
Poljanšek;Aleš;OK Azimut;A;1:33:33;6;854;;;;854;854;854
Sedej;Matej;OK Azimut;A;;;;;;;;843;843
Jazbar;Jožko;OK Azimut;A;;;;;801;;;801;801
Eržen;Valentin;OK Azimut;A;;;;767;;;;767;767
Zupan;Aleš;OK Polaris;A;;;;;;;;639;639
Kurinčič;Simon;OK Komenda;A;;;;;626;;;626;626
Kete;Ivo;PD Ajdovščina;A;;;;571;;;;571;571
Čerin;Aleš;OK Tivoli;A;;;;;529;;;529;529
