@SI
Pl;First name;Surname;Time;Short;City;Classifier;
1;Jernej;Zorman;OK KOMENDA;A;00.36.49;0;
2;Mojca;Flerin;KAMNIŠKI ORIENTACIJSKI KLUB;A;00.51.27;0;
3;Klemen;Kenda;OK AZIMUT;A;00.54.52;0;
4;Andrea;Rivetta;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;00.58.29;0;
5;Diego;Roveri;SSD Gaja - Sezione Orientamento;A;00.59.57;0;
6;Polona;Jezeršek;OK KOMENDA;A;01.01.30;0;
7;Žan;Ravnikar;OK KOMENDA;A;01.01.52;0;
8;Andrea;Foschian;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.04.33;0;
9;Alessia;Ciriani;FRIULI MTB &amp;A;01.08.21;0;
10;Maks;Rodman; PD AJDOVŠČINA;A;01.10.45;0;
11;Monika;Ravnikar;OK KOMENDA;A;01.10.53;0;
12;Zala;Zavrl;OK KOMENDA;A;01.13.28;0;
13;Marirosa;Hechich;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.15.18;0;
14;Andrea;Bernardi;PUNTO K ORIENTEERING ASD;A;01.16.07;0;
15;Alessia;Albano;PUNTO K ORIENTEERING ASD;A;01.16.44;0;
16;Christian;Scarabellotto;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.16.58;0;
17;Davide;Čufer; PD AJDOVŠČINA;A;01.17.07;0;
18;Chiara;Sepin;SSD Gaja - Sezione Orientamento;A;01.17.33;0;
19;Stefano;Zonato;ASD LESSINIA ORIENTEERING BOSCO CHIESANUOVA;A;01.18.03;0;
20;Roberto;Larotella;ORIENTEERING TRIESTE - A.S.D;A;01.18.26;0;
21;Carlo;Giacometti;SSD Gaja - Sezione Orientamento;A;01.19.02;0;
22;Gregor;Pavlič;SSD Gaja - Sezione Orientamento;A;01.19.44;0;
23;Marta;Canal;FRIULI MTB &amp;A;01.21.11;0;
24;Gianluca;Leoni;SSD Gaja - Sezione Orientamento;A;01.21.48;0;
25;Gianfranco;Siega;SSD Gaja - Sezione Orientamento;A;01.23.45;0;
26;Gašper;Cerar;Senza Societ?;A;01.24.13;0;
27;Boris;Eržen;ŠOK;A;01.25.02;0;
28;Leonardo;Bonfiglioli;SSD Gaja - Sezione Orientamento;A;01.28.58;0;
29;Anka;Kuzmin;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.29.10;0;
30;Vojko;Kacin;OK AZIMUT;A;01.30.19;0;
31;Maddalena;Zupin;PUNTO K ORIENTEERING ASD;A;01.32.35;0;
32;Sara;Gaion;ORIENTEERING TRIESTE - A.S.D;A;01.33.30;0;
33;Antonio;Callegaro;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.33.35;0;
34;Irene;Cibin;PUNTO K ORIENTEERING ASD;A;01.36.23;0;
35;Michele;Cafagna;ORIENTEERING TRIESTE - A.S.D;A;01.36.39;0;
36;Diego;Ruzzier;PUNTO K ORIENTEERING ASD;A;01.38.08;0;
37;Marko;De Luisa;SSD Gaja - Sezione Orientamento;A;01.41.59;0;
38;Roman;Sladič;ŠOK;A;01.46.10;0;
39;Luca;Patini;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;01.48.35;0;
40;Oliver;Butterley;SSD Gaja - Sezione Orientamento;A;01.48.54;0;
41;Piero;Giudici;ORIENTEERING TRIESTE - A.S.D;A;02.01.05;0;
42;Michela;Degrassi;PUNTO K ORIENTEERING ASD;A;02.19.34;0;
;Mauro;Clemente;SSD Gaja - Sezione Orientamento;A;mp;0;
;Ivo;Kete; PD AJDOVŠČINA;A;mp;0;
;Dragan;Krivičić;OK PERKMANDELJC;A;dnf;0;
;Monica;De Luisa;SSD Gaja - Sezione Orientamento;A;dnf;0;
;Alessandro;Pradolin;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;A;dnf;0;
;Giulio;Tagliapietra;SSD Gaja - Sezione Orientamento;A;dnf;0;
1;Stefano;Collodet;FRIULI MTB &amp;B;00.40.06;0;
2;Krešo;Keresteš;OK TRZIN;B;00.40.51;0;
3;Livio;Predonzani;GR. OR. CAI XXX OTTOBRE ASD;B;00.43.01;0;
4;Arianna;Patini;A.S.D. SEMIPERDO ORIENTEERING MANIAGO;B;00.43.49;0;
5;Massimo;Mosca;GR. OR. CAI XXX OTTOBRE ASD;B;00.43.55;0;
6;;Bončinaigor;OK AZIMUT;B;00.47.53;0;
7;Michela;Jerman;ORIENTEERING TRIESTE - A.S.D;B;00.50.43;0;
8;Michael;Tremul;PUNTO K ORIENTEERING ASD;B;00.51.38;0;
9;Gabriele;Bauci;PUNTO K ORIENTEERING ASD;B;00.52.02;0;
10;Jona;Mirnik;OK KOMENDA;B;00.53.22;0;
