Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;ZL17;ZL18;ZL19;ZL20;Sum;Average
Zorman;Jernej;OK Komenda;A;0:41:30;1;1165;;;1102;;1101;1078;1127;1136;1075;1176;1065;;1160;1071;;;;1146;1162;1165;5809;1162
Dovč;Jan;OK Tivoli;A;;;;1019;1102;1078;992;1062;1010;1111;1078;;;;1064;1148;1027;884;1074;;1088;1219;;5668;1134
Šumečki;Žan Luka;OK Tivoli;A;;;;999;1053;;;996;;;;;1094;-;956;-;;;;1180;;1006;;5332;1066
Borštnik;Andrej;OK Tivoli;A;;;;1031;945;1065;;1132;1005;;987;960;1017;;1011;-;;;1074;;;986;;5319;1064
Pretnar;Janez;Kamniški OK;A;;;;;1063;995;;;1032;1012;;1079;;;;;;;958;;-;;;5181;1036
Flerin;Mojca;Kamniški OK;A;;;;;916;1034;;1062;972;1028;907;880;-;;1000;;;;958;903;-;;;5096;1019
Stanonik;Simon;OK Azimut;A;0:58:17;7;958;;;;;974;988;1012;;;;-;;;;;1031;;1088;;958;5093;1019
Močnik;Rok;OK Azimut;A;0:55:27;4;993;;991;1020;865;896;960;993;;944;;;894;;;;-;;;;993;4957;991
Neve;Jasmine;OK Komenda;A;1:01:01;11;925;;1005;1034;;841;;1017;;961;;;;;;;;;-;670;925;4942;988
Bogataj;Mark;OK Azimut;A;0:57:24;5;969;;;882;;987;988;943;;989;;-;;;;;;;915;;969;4876;975
Flašker;Ajda;OK Komenda;A;1:00:52;10;926;;;;;948;1004;;920;1008;;-;-;-;;;-;;;985;926;4871;974
Blaž;Matic;OK Komenda;A;;;;;755;;;921;891;;;;887;976;965;;931;;;;;;;4684;937
Čerin;Boštjan;OK Tivoli;A;;;;;894;;;;;864;;;920;;975;;991;;;;;818;;4644;929
Kenda;Klemen;OK Azimut;A;1:06:53;15;852;-;;;;919;;;;;949;890;939;;909;;-;;915;;852;4631;926
